gen	pheno_p	pheno_h	div_p	div_h	ind_p	ind_h	sig_K	sig_C
  370  -8.29   4.68  4.27  1.291016710049  1.00  0.40 
  371  -8.30   4.69  4.32  1.3010020 9905  1.00  0.40 
  372  -8.31   4.72  4.32  1.301008310050  1.00  0.40 
  373  -8.30   4.70  4.32  1.31 9799 9957  1.00  0.40 
  374  -8.30   4.70  4.33  1.3110101 9985  1.00  0.40 
  375  -8.29   4.71  4.32  1.3110047 9965  1.00  0.40 
  376  -8.28   4.70  4.32  1.31 9976 9981  1.00  0.40 
  377  -8.28   4.73  4.33  1.311004210054  1.00  0.40 
  378  -8.28   4.76  4.35  1.3110041 9983  1.00  0.40 
  379  -8.28   4.75  4.36  1.3110021 9942  1.00  0.40 
  380  -8.28   4.74  4.37  1.31 988510011  1.00  0.40 
  381  -8.29   4.76  4.37  1.31 9928 9927  1.00  0.40 
  382  -8.29   4.78  4.38  1.321008210023  1.00  0.40 
  383  -8.30   4.79  4.39  1.34 9961 9983  1.00  0.40 
  384  -8.30   4.77  4.39  1.34 9902 9918  1.00  0.40 
  385  -8.30   4.79  4.36  1.33 991710058  1.00  0.40 
  386  -8.30   4.83  4.35  1.331011010008  1.00  0.40 
  387  -8.29   4.85  4.33  1.321002510013  1.00  0.40 
  388  -8.30   4.85  4.37  1.32 996210003  1.00  0.40 
  389  -8.31   4.88  4.37  1.321005310109  1.00  0.40 
  390  -8.30   4.91  4.36  1.3110000 9971  1.00  0.40 
  391  -8.31   4.91  4.39  1.311007110027  1.00  0.40 
  392  -8.31   4.86  4.39  1.33 9895 9949  1.00  0.40 
  393  -8.29   4.84  4.38  1.33 995210001  1.00  0.40 
  394  -8.28   4.83  4.37  1.33 999210140  1.00  0.40 
  395  -8.29   4.79  4.39  1.33 994310049  1.00  0.40 
  396  -8.31   4.76  4.40  1.33 984510030  1.00  0.40 
  397  -8.31   4.73  4.43  1.3310028 9968  1.00  0.40 
  398  -8.32   4.72  4.42  1.331000510144  1.00  0.40 
